id_str,created_at,text,user.screen_name,user.lang,coordinates.coordinates
"1007777970809786368","Sat Jun 16 00:12:46 +0000 2018","RT @WhiteHouse: A message from President Trump: “If there’s a chance at peace, if there’s a chance to end the horrible threat of nuclear co…","TonyHui99","en",
"1007777972357562373","Sat Jun 16 00:12:46 +0000 2018","RT @nj_ayuk: https://t.co/HLkvVnTBCn","klemas_chaya","en",
"1007777973015965696","Sat Jun 16 00:12:47 +0000 2018","RT @Lmbacani: I’m sure you did your best and wish you high ratings and future awards!\n\n#MMKTitibotibo","Marjoriedizon12","en",
"1007777973397803008","Sat Jun 16 00:12:47 +0000 2018","I love quality content. https://t.co/x5Ir7c0oh6","JoelJGibbs","en",
"1007777972634320896","Sat Jun 16 00:12:46 +0000 2018","Giving your children responsibilities around the house is good for their future. https://t.co/4gqSzlvmfV https://t.co/jrzdb3MHe7","dan05mac02","en",
"1007777974752628738","Sat Jun 16 00:12:47 +0000 2018","Am I the only one charging Me of the future with a million tasks and then insulting Me of the past for not having d… https://t.co/zKZ6ph5ylV","Rici_Jimmy","it",
"1007777975721431040","Sat Jun 16 00:12:47 +0000 2018","RT @Nas: The Kids Are Our Future. NASIR out everywhere tomorrow! Executive Produced by @kanyewest #NASIR https://t.co/gpRUBT7FPU","its_neo__","en",
"1007777976702980097","Sat Jun 16 00:12:47 +0000 2018","why wont you love me stans \n- loves their s/o so much \n- thinks about the future \n- wonders what might go wrong","livingaintcheap","en",
"1007777976845389825","Sat Jun 16 00:12:47 +0000 2018","RT @Nas: The Kids Are Our Future. NASIR out everywhere tomorrow! Executive Produced by @kanyewest #NASIR https://t.co/gpRUBT7FPU","homieplays2much","en",
"1007777977134747648","Sat Jun 16 00:12:48 +0000 2018","RT @Meligoose: Me and my future boo will for sure be at the 2026 World Cup matches","RalphieeTheKid","en",
"1007777977910923266","Sat Jun 16 00:12:48 +0000 2018","RT @rabeta_k: القراءة إستمتاع بالحاضر و إعداد للمستقبل-شيماء فؤاد\n\nReading is enjoying the present and preparing for the future-Shaimaa Fou…","Hanayabdulaziz","ar",
"1007777978661658625","Sat Jun 16 00:12:48 +0000 2018","@notwokieleaks At least our crust grey politicians and talk-show hosts can put their differences aside and agree on… https://t.co/wRGP1CKxe4","Wandering_Bones","en",
"1007777979726954497","Sat Jun 16 00:12:48 +0000 2018","RT @BernardHarcourt: Could it be that the sheer magnitude and breadth of the total surveillance state spells the beginning of the end? Imag…","TADurkin","en",
"1007777980247134208","Sat Jun 16 00:12:48 +0000 2018","RT @InspowerMinds: Do not cry for the past is gone, do not stress about the future has not arrived, live in the present and make it awesome.","shivang598","en",
"1007777981899649024","Sat Jun 16 00:12:49 +0000 2018","RT @KallieLeigh: Not really caught up on anyone, not really interested in anyone.. Just trying to love myself and be better for whoever God…","teira_jaylon41","en",
"1007777984173019136","Sat Jun 16 00:12:49 +0000 2018","RT @7im: we've got a kafkaesque nightmare in the making. Parents held by DHS; kids sent by HHS into foster homes in the interior. No system…","maegutz","en",
"1007777984663736322","Sat Jun 16 00:12:49 +0000 2018","RT @HillaryClinton: Last night I met Ke’Shon, Liv &amp; Kayla. Their stories about the impact of gun violence in this film by @GiffordsCourage…","KL04655767","en",
"1007777985070391296","Sat Jun 16 00:12:49 +0000 2018","TBH I wouldn't care if it was true. All the ""family sob stories"" is smoke to distract from the fact the country is… https://t.co/WfQYf7t7xV","WriteReadRock","en",
"1007777985519341568","Sat Jun 16 00:12:50 +0000 2018","RT @MSGians7: Let's each one teach one, and try to eradicate the moral weakness present in our society in the form of child labour.\nIt woul…","Nehainsan72","en",
"1007777986014273538","Sat Jun 16 00:12:50 +0000 2018","RT @wojespn: Sources: So far, Leonard has expressed nothing directly to Spurs about  future. Lakers and Clippers interest Leonard -- and bo…","antoniomilano11","en",
"1007777985967996928","Sat Jun 16 00:12:50 +0000 2018","RT @GrantCardone: Get back in the hustle, forget the past, focus on the future. Pay the price today so you can pay any price tomorrow. \n\n#H…","JaxsonMeyer","en",
"1007777987180351489","Sat Jun 16 00:12:50 +0000 2018","RT @waltshaub: That’s my old agency coming down on you, @EPAScottPruitt. (Way to go OGE!) It’s time for you to go. You‘re literally going t…","maryvhornig","en",
"1007777987171790848","Sat Jun 16 00:12:50 +0000 2018","RT @SAPAriba: Connecting elite talent around the 🌐 will nourish innovation like never before.\n\n#TBT to our president @BarryPadgett and @Ron…","bridges2italy","en",
"1007777987490664448","Sat Jun 16 00:12:50 +0000 2018","RT @marshawright: Don't settle for something that is only half-fulfilling, reach for what you really want deep down. #success #future #sett…","MIKEMULTI","en",
"1007777988446912513","Sat Jun 16 00:12:50 +0000 2018","@christian169810 Casualty of fair trade and Lauri being the PF of the future for us. BP would want 10-15mil per aft… https://t.co/VrTThGNIsz","BullScripted","en",
"1007777989222952961","Sat Jun 16 00:12:50 +0000 2018","I added a video to a @YouTube playlist https://t.co/vRbyRqn5fl Future Pro player in the works!| 600 wins |14k kill","Tank_Forde","en",
"1007777989235544064","Sat Jun 16 00:12:50 +0000 2018","RT @CheriJacobus: A lone Senator can start a filibuster to cover all the Trump scandals, can do it without permission from anyone &amp; it won'…","itsmommy","en",
"1007777991647166464","Sat Jun 16 00:12:51 +0000 2018","RT @AchmatX: Community wants building landmarked and it mysteriously catches fire. Developers in Redhook using the same tactics used in Bro…","howboutyoustfu","en",
"1007777992611975169","Sat Jun 16 00:12:51 +0000 2018","RT @adriandt31: Rep. Steve Scalise Joins President Trump in Opposition to Paul Ryan’s Historic Amnesty Plan\n\nSpeaker Paul Ryan’s amnesty pl…","americandream09","en",
"1007777993953980416","Sat Jun 16 00:12:52 +0000 2018","RT @TheDukeofKL: Bila pandangan kami tak selari dengan kerajaan semasa Pakatan Harapan mulalah tuduh kami ni agen UMNO.\n\nSemua pendapat yg…","AidilRehal","en",
"1007777994755190785","Sat Jun 16 00:12:52 +0000 2018","@LucPowls @Anicol280 @nhsfife @NHSForthValley @NESnmahp @fgchr Thank you all for your support and making us all fee… https://t.co/XjDrXQlDNK","chazyn30","en",
"1007777995069591553","Sat Jun 16 00:12:52 +0000 2018","RT @HillaryClinton: Last night I met Ke’Shon, Liv &amp; Kayla. Their stories about the impact of gun violence in this film by @GiffordsCourage…","msfit60","en",
"1007777994608238592","Sat Jun 16 00:12:52 +0000 2018","Giving your children responsibilities around the house is good for their future. https://t.co/lQD0DRVg65 https://t.co/G9LIJlmZQ0","tracy52032711","en",
"1007777995417743361","Sat Jun 16 00:12:52 +0000 2018","Giving your children responsibilities around the house is good for their future. https://t.co/SLJtue1Cah https://t.co/cocLItY40V","vincentsorisio","en",
